temporada,equipo,puesto,PJ,PG,PP,PF,PC,total_min,total_val,total_puntos,total_min_espana,total_puntos_espana,total_val_espana
93-94,C. Baloncesto Oar,15,28,11,17,2126,2134,5644,2020,2126,3147,814,654
93-94,Dyc Lugo,16,28,10,18,2092,2238,5594,1934,2092,3153,974,865
93-94,F\xf3rum Valladolid,17,28,9,19,2395,2504,5646,2370,2395,2480,741,739
93-94,Argal Huesca,18,28,9,19,2327,2456,5667,2265,2327,3160,1037,905
93-94,Valvi Girona,19,28,9,19,2204,2371,5718,2063,2204,2627,948,725
93-94,C.B. Murcia,20,28,8,20,2108,2301,5642,1976,2108,2622,757,473
12-13,Real Madrid,1,34,30,4,2985,2563,6819,2100,2985,3249,1534,1142
12-13,Caja Laboral,2,34,25,9,2815,2695,6842,600,2815,1135,455,130
12-13,Regal FC Barcelona,3,34,23,11,2693,2436,6842,1285,2693,1679,522,306
12-13,Valencia Basket Club,4,34,22,12,2764,2579,6816,925,2764,2144,739,285
12-13,CAI Zaragoza,5,34,21,13,2692,2460,6818,1160,2692,1802,602,344
12-13,Herbalife Gran Canaria,6,34,19,15,2491,2416,6817,375,2491,2211,596,100
12-13,Gescrap Bizkaia,7,34,19,15,2762,2665,6843,485,2762,2100,790,265
12-13,Blusens Monbus,8,34,18,16,2556,2507,6818,245,2556,1358,642,46
12-13,Unicaja,9,34,18,16,2481,2475,6791,30,2481,2085,703,6
12-13,CB Canarias,10,34,17,17,2746,2806,6818,-300,2746,3012,1078,-253
12-13,FIATC Joventut,11,34,16,18,2653,2738,6818,-425,2653,2915,1009,-92
12-13,Asefa Estudiantes,12,34,15,19,2712,2704,6791,40,2712,547,141,48
12-13,UCAM Murcia,13,34,13,21,2691,2888,6869,-985,2691,2896,1046,-348
12-13,Mad-Croc Fuenlabrada,14,34,12,22,2530,2695,6819,-825,2530,1937,485,-402
12-13,Cajasol,15,34,12,22,2448,2606,6791,-790,2448,1364,392,-108
12-13,Blancos de Rueda Valladolid,16,34,12,22,2644,2838,6866,-970,2644,3056,1142,-497
12-13,Lagun Aro GBC,17,34,8,26,2492,2750,6818,-1290,2492,2602,921,-557
12-13,Assignia Manresa,18,34,6,28,2574,2908,6865,-1670,2574,2704,801,-667
02-03,F.C. Barcelona,1,34,27,7,2792,2588,6895,2941,2792,3556,1310,1412
02-03,Pamesa Valencia,2,34,26,8,2815,2524,6841,3023,2815,2516,991,891
02-03,Unicaja,3,34,24,10,2663,2567,6819,2562,2663,1496,511,408
02-03,Adecco Estudiantes,4,34,23,11,2870,2605,6870,2948,2870,3689,1481,1758
02-03,Auna,5,34,21,13,2834,2713,6845,2808,2834,2341,841,817
02-03,TAU Cer\xe1mica,6,34,18,16,2763,2665,6891,2763,2763,1115,347,414
02-03,DKV Joventut,7,34,18,16,2849,2753,6895,2886,2849,3104,1223,1265
02-03,Lucentum Alicante,8,34,18,16,2745,2716,6791,2767,2745,2146,820,744
02-03,Leche Rio Breogan,9,34,17,17,2769,2830,6893,2690,2769,3161,1191,1132
02-03,Real Madrid,10,34,17,17,2667,2608,6843,2607,2667,3409,1306,1227
02-03,Caprabo Lleida,11,34,16,18,2730,2819,6842,2612,2730,3217,1291,1119
02-03,Caja San Fernando,12,34,16,18,2722,2687,6794,2679,2722,2399,798,798
02-03,Ricoh Manresa,13,34,15,19,2692,2757,6891,2537,2692,4437,1605,1484
02-03,Jabones Pardo Fuenlabrada,14,34,14,20,2740,2881,6843,2564,2740,3694,1164,937
02-03,Casademont Girona,15,34,12,22,2623,2790,6867,2663,2623,1786,664,636
