temporada,equipo,puesto,PJ,PG,PP,PF,PC,total_min,total_val,total_puntos,total_min_espana,total_puntos_espana,total_val_espana,total_jug,jug_esp,jug1,jug3,jug5,mas5,porcentaje_jug_esp,porcentaje_jug_1,porcentaje_jug_3,porcentaje_jug_5,porcentaje_jug_mas5,total_min_no_esp,porcentaje_min_esp,porcentaje_min_no_esp,total_puntos_no_esp,porcentaje_puntos_esp,porcentaje_puntos_no_esp,total_val_no_esp,porcentaje_val_esp,porcentaje_val__no_esp
91-92,Montigal\xe1 Joventut,1,34,26,8,2885,2522,6867,3293,2885,4128,1738,1646,13,9,0,13,0,0,0.7,0.0,1.0,0.0,0.0,2739,0.6,0.4,1147,0.6,0.4,1647,0.5,0.5
91-92,Elos\xfaa Le\xf3n,2,34,25,9,2760,2558,6843,3009,2760,4488,1629,1578,12,10,0,12,0,0,0.8,0.0,1.0,0.0,0.0,2355,0.7,0.3,1131,0.6,0.4,1431,0.5,0.5
91-92,CAI Zaragoza,3,34,25,9,2760,2462,6795,3190,2760,4605,1947,2078,13,9,4,9,0,0,0.7,0.3,0.7,0.0,0.0,2190,0.7,0.3,813,0.7,0.3,1112,0.7,0.3
91-92,Real Madrid Asegurator,4,34,24,10,2902,2656,6844,3120,2902,3996,1419,1592,13,9,1,12,0,0,0.7,0.1,0.9,0.0,0.0,2848,0.6,0.4,1483,0.5,0.5,1528,0.5,0.5
91-92,Estudiantes Caja Postal,5,34,24,10,2828,2660,6818,3134,2828,4430,1654,1793,16,14,1,15,0,0,0.9,0.1,0.9,0.0,0.0,2388,0.6,0.4,1174,0.6,0.4,1341,0.6,0.4
91-92,F.C. Barcelona,6,34,24,10,2745,2517,6792,2963,2745,4687,1823,1768,17,12,0,17,0,0,0.7,0.0,1.0,0.0,0.0,2105,0.7,0.3,922,0.7,0.3,1195,0.6,0.4
91-92,Taugr\xe9s,7,34,24,10,2759,2565,6818,3119,2759,3146,866,983,14,9,0,14,0,0,0.6,0.0,1.0,0.0,0.0,3672,0.5,0.5,1893,0.3,0.7,2136,0.3,0.7
91-92,F\xf3rum Filat\xe9lico Valaldolid,8,34,21,13,2755,2588,6818,3062,2755,2755,726,741,14,9,3,11,0,0,0.6,0.2,0.8,0.0,0.0,4063,0.4,0.6,2029,0.3,0.7,2321,0.2,0.8
91-92,Pamesa Valencia,9,34,18,16,2640,2595,6919,2828,2640,3544,920,1026,10,7,0,10,0,0,0.7,0.0,1.0,0.0,0.0,3375,0.5,0.5,1720,0.3,0.7,1802,0.4,0.6
91-92,Huesca La Magia,10,34,18,16,2709,2756,6820,2768,2709,4457,1297,1207,10,8,1,9,0,0,0.8,0.1,0.9,0.0,0.0,2363,0.7,0.3,1412,0.5,0.5,1561,0.4,0.6
91-92,Oar Ferrol,11,34,17,17,2600,2616,6793,2556,2600,4518,1464,1296,11,8,1,10,0,0,0.7,0.1,0.9,0.0,0.0,2275,0.7,0.3,1136,0.6,0.4,1260,0.5,0.5
91-92,Juver Murcia,12,34,16,18,2680,2715,6820,2659,2680,4286,1364,1161,12,10,2,10,0,0,0.8,0.2,0.8,0.0,0.0,2534,0.6,0.4,1316,0.5,0.5,1498,0.4,0.6
91-92,Valvi Girona,13,34,16,18,2668,2671,6821,2692,2668,3668,1034,963,12,9,1,11,0,0,0.8,0.1,0.9,0.0,0.0,3153,0.5,0.5,1634,0.4,0.6,1729,0.4,0.6
91-92,Granollers E.B.,14,34,16,18,2769,2749,6893,2882,2769,4520,1594,1524,15,10,3,12,0,0,0.7,0.2,0.8,0.0,0.0,2373,0.7,0.3,1175,0.6,0.4,1358,0.5,0.5
91-92,Tdk Manresa,15,34,15,19,2546,2540,6843,2633,2546,4435,1522,1217,14,10,1,13,0,0,0.7,0.1,0.9,0.0,0.0,2408,0.6,0.4,1024,0.6,0.4,1416,0.5,0.5
91-92,Caja San Fernando,16,34,14,20,2588,2704,6845,2538,2588,4415,1313,1085,11,9,2,9,0,0,0.8,0.2,0.8,0.0,0.0,2430,0.6,0.4,1275,0.5,0.5,1453,0.4,0.6
91-92,Unicaja Ronda,17,34,13,21,2455,2527,6816,2457,2455,4525,1510,1504,16,12,4,12,0,0,0.8,0.2,0.8,0.0,0.0,2291,0.7,0.3,945,0.6,0.4,953,0.6,0.4
91-92,Mayoral Maristas,18,34,12,22,2698,2847,6794,2492,2698,4586,1373,1156,17,11,7,10,0,0,0.6,0.4,0.6,0.0,0.0,2208,0.7,0.3,1325,0.5,0.5,1336,0.5,0.5
91-92,Dyc Breog\xe1n,19,34,12,22,2563,2655,6818,2497,2563,4320,1317,1014,13,9,0,13,0,0,0.7,0.0,1.0,0.0,0.0,2498,0.6,0.4,1246,0.5,0.5,1483,0.4,0.6
91-92,Ferrys Lliria,20,34,11,23,2440,2676,6793,2252,2440,4445,1343,899,14,11,2,12,0,0,0.8,0.1,0.9,0.0,0.0,2348,0.7,0.3,1097,0.6,0.4,1353,0.4,0.6
91-92,Gran Canaria,21,34,10,24,2413,2656,6844,2114,2412,4280,1135,746,14,11,10,4,0,0,0.8,0.7,0.3,0.0,0.0,2564,0.6,0.4,1277,0.5,0.5,1368,0.4,0.6
91-92,Coren Orense,22,34,10,24,2433,2775,6794,2331,2433,4462,1408,1138,15,11,3,12,0,0,0.7,0.2,0.8,0.0,0.0,2332,0.7,0.3,1025,0.6,0.4,1193,0.5,0.5
91-92,Granada,23,34,9,25,2581,2805,6869,2543,2581,4310,1150,996,16,10,7,9,0,0,0.6,0.4,0.6,0.0,0.0,2559,0.6,0.4,1431,0.4,0.6,1547,0.4,0.6
91-92,C.B. Collado Villalba,24,34,8,26,2578,2940,6817,2361,2578,4627,1192,898,17,12,8,9,0,0,0.7,0.5,0.5,0.0,0.0,2190,0.7,0.3,1386,0.5,0.5,1463,0.4,0.6
10-11,Regal FC Barcelona,1,34,27,7,2614,2245,6868,2852,2614,3185,1122,1405,17,8,3,11,1,2,0.5,0.2,0.6,0.1,0.1,3683,0.5,0.5,1492,0.4,0.6,1447,0.5,0.5
10-11,Real Madrid,2,34,26,8,2629,2401,6867,2922,2629,3321,1291,1439,17,9,0,17,0,0,0.5,0.0,1.0,0.0,0.0,3546,0.5,0.5,1338,0.5,0.5,1483,0.5,0.5
10-11,Power Electronics Valencia,3,34,24,10,2570,2414,6791,2701,2570,1979,850,821,18,8,2,13,2,1,0.4,0.1,0.7,0.1,0.1,4812,0.3,0.7,1720,0.3,0.7,1880,0.3,0.7
10-11,Caja Laboral,4,34,23,11,2693,2509,6794,2915,2693,1618,584,780,17,3,2,13,1,1,0.2,0.1,0.8,0.1,0.1,5176,0.2,0.8,2109,0.2,0.8,2135,0.3,0.7
10-11,Gran Canaria 2014,5,34,21,13,2560,2450,6840,2613,2560,1963,545,702,18,7,1,14,0,3,0.4,0.1,0.8,0.0,0.2,4877,0.3,0.7,2015,0.2,0.8,1911,0.3,0.7
10-11,Bizkaia Bilbao Basket,6,34,21,13,2643,2514,6892,2628,2643,1528,526,581,15,5,0,13,0,2,0.3,0.0,0.9,0.0,0.1,5364,0.2,0.8,2117,0.2,0.8,2047,0.2,0.8
10-11,Baloncesto Fuenlabrada,7,34,20,14,2611,2580,6793,2749,2611,2300,712,560,16,8,2,13,0,1,0.5,0.1,0.8,0.0,0.1,4493,0.3,0.7,1899,0.3,0.7,2189,0.2,0.8
10-11,Unicaja,8,34,19,15,2582,2461,6814,2634,2582,2570,770,866,20,7,2,18,0,0,0.4,0.1,0.9,0.0,0.0,4244,0.4,0.6,1812,0.3,0.7,1768,0.3,0.7
10-11,Blancos de Rueda Valladolid,9,34,18,16,2465,2462,6818,2551,2465,1151,394,287,15,7,3,12,0,0,0.5,0.2,0.8,0.0,0.0,5667,0.2,0.8,2071,0.2,0.8,2264,0.1,0.9
10-11,CAI Zaragoza,10,34,16,18,2551,2641,6818,2634,2551,1954,715,792,20,12,6,13,0,1,0.6,0.3,0.6,0.0,0.0,4864,0.3,0.7,1836,0.3,0.7,1842,0.3,0.7
10-11,Cajasol,11,34,16,18,2513,2499,6819,2454,2513,1879,669,594,17,7,0,16,1,0,0.4,0.0,0.9,0.1,0.0,4940,0.3,0.7,1844,0.3,0.7,1860,0.2,0.8
10-11,Asefa Estudiantes,12,34,16,18,2476,2540,6792,2463,2476,1399,398,439,15,6,1,13,1,0,0.4,0.1,0.9,0.1,0.0,5393,0.2,0.8,2078,0.2,0.8,2024,0.2,0.8
10-11,DKV Joventut,13,34,14,20,2586,2827,6791,2468,2586,2365,713,843,17,9,1,15,0,1,0.5,0.1,0.9,0.0,0.1,4426,0.3,0.7,1873,0.3,0.7,1625,0.3,0.7
10-11,Lagun Aro GBC,14,34,12,22,2510,2594,6843,2353,2510,3374,1102,1090,12,6,1,9,2,0,0.5,0.1,0.8,0.2,0.0,3469,0.5,0.5,1408,0.4,0.6,1263,0.5,0.5
10-11,Assignia Manresa,15,34,10,24,2222,2428,6818,2038,2222,3780,1153,1092,19,11,1,16,0,2,0.6,0.1,0.8,0.0,0.1,3038,0.6,0.4,1069,0.5,0.5,946,0.5,0.5
10-11,Meridiano Alicante,16,34,9,25,2348,2461,6819,2144,2348,1805,377,427,18,6,3,9,3,3,0.3,0.2,0.5,0.2,0.2,5014,0.3,0.7,1971,0.2,0.8,1717,0.2,0.8
10-11,Menorca Basquet,17,34,7,27,2325,2596,6844,2120,2325,1439,358,177,13,6,3,8,1,1,0.5,0.2,0.6,0.1,0.1,5405,0.2,0.8,1967,0.2,0.8,1943,0.1,0.9
10-11,C.B. Granada,18,34,7,27,2351,2627,6794,2190,2351,1220,310,259,17,5,1,14,0,2,0.3,0.1,0.8,0.0,0.1,5574,0.2,0.8,2041,0.1,0.9,1931,0.1,0.9
00-01,F.C. Barcelona,1,34,29,5,3055,2613,6866,3356,3055,3046,1366,1688,16,8,2,13,1,0,0.5,0.1,0.8,0.1,0.0,3820,0.4,0.6,1689,0.4,0.6,1668,0.5,0.5
00-01,Real Madrid,2,34,27,7,2788,2519,6817,3003,2788,3342,1375,1379,14,7,2,12,0,0,0.5,0.1,0.9,0.0,0.0,3475,0.5,0.5,1413,0.5,0.5,1624,0.5,0.5
00-01,TAU Cer\xe1mica,3,34,27,7,2888,2452,6820,3120,2888,490,162,163,14,3,3,11,0,0,0.2,0.2,0.8,0.0,0.0,6330,0.1,0.9,2726,0.1,0.9,2957,0.1,0.9
00-01,Unicaja,4,34,27,7,2883,2582,6818,3014,2883,1873,714,589,14,5,0,14,0,0,0.4,0.0,1.0,0.0,0.0,4945,0.3,0.7,2169,0.2,0.8,2425,0.2,0.8
00-01,Pamesa Valencia,5,34,22,12,2760,2622,6818,3019,2760,4023,1366,1374,14,9,2,11,0,1,0.6,0.1,0.8,0.0,0.1,2795,0.6,0.4,1394,0.5,0.5,1645,0.5,0.5
00-01,Adecco Estudiantes,6,34,21,13,2767,2698,6819,2736,2767,4289,1671,1899,14,9,1,11,0,2,0.6,0.1,0.8,0.0,0.1,2530,0.6,0.4,1096,0.6,0.4,837,0.7,0.3
00-01,Jabones Pardo Fuenlabrada,7,34,20,14,2752,2669,6845,2738,2752,4045,1430,1430,12,8,1,10,0,1,0.7,0.1,0.8,0.0,0.1,2800,0.6,0.4,1322,0.5,0.5,1308,0.5,0.5
00-01,F\xf3rum Valladolid C.B.,8,34,16,18,2759,2795,6846,2678,2759,4871,1775,1477,12,10,1,10,0,1,0.8,0.1,0.8,0.0,0.1,1975,0.7,0.3,984,0.6,0.4,1201,0.6,0.4
00-01,Casademont Girona,9,34,15,19,2733,2797,6919,2747,2733,2917,912,905,14,9,2,10,0,2,0.6,0.1,0.7,0.0,0.1,4002,0.4,0.6,1821,0.3,0.7,1842,0.3,0.7
00-01,C\xe1ceres C.B.,10,34,14,20,2650,2732,6843,2523,2650,4289,1741,1454,16,12,5,9,1,1,0.8,0.3,0.6,0.1,0.1,2554,0.6,0.4,909,0.7,0.3,1069,0.6,0.4
00-01,Breog\xe1n Universidade,11,34,13,21,2669,2722,6794,2523,2669,4237,1486,1184,14,10,1,12,0,1,0.7,0.1,0.9,0.0,0.1,2557,0.6,0.4,1183,0.6,0.4,1339,0.5,0.5
00-01,Caja San Fernando,12,34,13,21,2605,2642,6867,2526,2605,2610,837,784,13,6,0,12,0,1,0.5,0.0,0.9,0.0,0.1,4257,0.4,0.6,1768,0.3,0.7,1742,0.3,0.7
00-01,Canarias Telecom,13,34,12,22,2591,2808,6794,2471,2591,3157,1061,836,13,8,1,12,0,0,0.6,0.1,0.9,0.0,0.0,3637,0.5,0.5,1530,0.4,0.6,1635,0.3,0.7
00-01,Joventut Badalona,14,34,11,23,2692,2820,6869,2635,2692,3372,1285,1186,13,7,1,11,0,1,0.5,0.1,0.8,0.0,0.1,3497,0.5,0.5,1407,0.5,0.5,1449,0.5,0.5
00-01,Gij\xf3n Baloncesto,15,34,11,23,2643,2823,6819,2706,2643,3343,1142,1008,14,8,3,10,0,1,0.6,0.2,0.7,0.0,0.1,3476,0.5,0.5,1501,0.4,0.6,1698,0.4,0.6
00-01,Cantabria Lobos,16,34,10,24,2484,2894,6841,2182,2484,4526,1416,1061,14,12,1,11,1,1,0.9,0.1,0.8,0.1,0.1,2315,0.7,0.3,1068,0.6,0.4,1121,0.5,0.5
00-01,Proaguas Costablanca,17,34,9,25,2554,2846,6844,2353,2554,3111,1131,887,14,7,3,11,0,0,0.5,0.2,0.8,0.0,0.0,3733,0.5,0.5,1423,0.4,0.6,1466,0.4,0.6
00-01,C. Ourense Baloncesto,18,34,9,25,2630,2869,6893,2446,2630,4066,1404,1165,16,8,1,12,2,1,0.5,0.1,0.8,0.1,0.1,2827,0.6,0.4,1226,0.5,0.5,1281,0.5,0.5
90-91,Montigal\xe1 Joventut,1,34,30,4,3091,2550,6843,3451,3091,4381,1945,2006,13,10,1,12,0,0,0.8,0.1,0.9,0.0,0.0,2462,0.6,0.4,1146,0.6,0.4,1445,0.6,0.4
90-91,F.C. Barcelona,2,34,26,8,2819,2443,6843,3073,2819,4147,1626,1578,15,11,2,13,0,0,0.7,0.1,0.9,0.0,0.0,2696,0.6,0.4,1193,0.6,0.4,1495,0.5,0.5
90-91,Estudiantes Caja Postal,3,34,25,9,2862,2637,6884,3179,2862,4525,1683,1835,14,12,1,13,0,0,0.9,0.1,0.9,0.0,0.0,2359,0.7,0.3,1179,0.6,0.4,1344,0.6,0.4
90-91,Real Madrid Otaysa,4,34,24,10,2745,2575,6846,3081,2745,3926,1474,1546,12,9,2,10,0,0,0.8,0.2,0.8,0.0,0.0,2920,0.6,0.4,1271,0.5,0.5,1535,0.5,0.5
90-91,Taugr\xe9s,5,34,21,13,2796,2669,6795,2993,2796,2011,437,536,11,5,5,6,0,0,0.5,0.5,0.5,0.0,0.0,4784,0.3,0.7,2359,0.2,0.8,2457,0.2,0.8
90-91,CAI Zaragoza,6,34,20,14,3135,2929,6869,3220,3135,4563,1589,1661,11,9,2,9,0,0,0.8,0.2,0.8,0.0,0.0,2306,0.7,0.3,1546,0.5,0.5,1559,0.5,0.5
90-91,F\xf3rum Valladolid,7,34,20,14,2722,2695,6862,2754,2722,3240,1016,879,15,9,4,11,0,0,0.6,0.3,0.7,0.0,0.0,3622,0.5,0.5,1706,0.4,0.6,1875,0.3,0.7
90-91,Valvi Girona,8,34,18,16,2695,2668,6832,2636,2695,3907,1160,994,15,11,2,13,0,0,0.7,0.1,0.9,0.0,0.0,2925,0.6,0.4,1535,0.4,0.6,1642,0.4,0.6
90-91,Atl\xe9tico Madrid Villalba,9,34,17,17,2648,2744,6844,2583,2648,4521,1092,836,13,9,2,11,0,0,0.7,0.2,0.8,0.0,0.0,2323,0.7,0.3,1556,0.4,0.6,1747,0.3,0.7
90-91,Mayoral Maristas,10,34,16,18,2665,2658,6846,2655,2665,4470,1231,1141,12,9,4,8,0,0,0.8,0.3,0.7,0.0,0.0,2376,0.7,0.3,1434,0.5,0.5,1514,0.4,0.6
90-91,Huesca La Magia,11,34,16,18,2648,2612,6839,2586,2648,4475,1285,1119,12,8,3,9,0,0,0.7,0.2,0.8,0.0,0.0,2364,0.7,0.3,1363,0.5,0.5,1467,0.4,0.6
90-91,Caja Ronda,12,34,15,19,2435,2534,6819,2397,2435,4466,1236,1049,15,11,6,9,0,0,0.7,0.4,0.6,0.0,0.0,2353,0.7,0.3,1199,0.5,0.5,1348,0.4,0.6
