temporada,equipo,puesto,PJ,PG,PP,PF,PC,total_min,total_val,total_puntos,total_min_espana,total_puntos_espana,total_val_espana,total_jug,jug_esp,jug1,jug3,jug5,mas5,porcentaje_jug_esp,porcentaje_jug_1,porcentaje_jug_3,porcentaje_jug_5,porcentaje_jug_mas5,total_min_no_esp,porcentaje_min_esp,porcentaje_min_no_esp,total_puntos_no_esp,porcentaje_puntos_esp,porcentaje_puntos_no_esp,total_val_no_esp,porcentaje_val_esp,porcentaje_val__no_esp
09-10,CB Granada,11,34,15,19,2622,2690,6818,2682,2622,1079,346,340,15,5,2,12,1,0,0.3,0.1,0.8,0.1,0.0,5739,0.2,0.8,2276,0.1,0.9,2342,0.1,0.9
09-10,Suzuki Manresa,12,34,14,20,2440,2563,6843,2306,2440,3869,1325,1166,18,10,3,15,0,0,0.6,0.2,0.8,0.0,0.0,2974,0.6,0.4,1115,0.5,0.5,1140,0.5,0.5
09-10,Blancos de Rueda Valladolid,13,34,13,21,2484,2631,6844,2467,2484,1006,288,284,16,6,7,8,1,0,0.4,0.4,0.5,0.1,0.0,5838,0.1,0.9,2196,0.1,0.9,2183,0.1,0.9
09-10,Lagun Aro GBC,14,34,13,21,2500,2667,6818,2478,2500,2864,960,1052,12,6,2,9,1,0,0.5,0.2,0.8,0.1,0.0,3954,0.4,0.6,1540,0.4,0.6,1426,0.4,0.6
09-10,Meridiano Alicante,15,34,13,21,2563,2696,6794,2449,2563,2466,790,738,14,6,2,10,1,1,0.4,0.1,0.7,0.1,0.1,4328,0.4,0.6,1773,0.3,0.7,1711,0.3,0.7
09-10,Ayuda en Acci\xf3n Fuenlabrada,16,34,12,22,2549,2733,6792,2341,2549,1337,333,250,19,7,2,16,0,1,0.4,0.1,0.8,0.0,0.1,5455,0.2,0.8,2216,0.1,0.9,2091,0.1,0.9
09-10,Xacobeo Blu:sens,17,34,8,26,2520,2814,6841,2272,2520,1310,324,228,21,7,5,16,0,0,0.3,0.2,0.8,0.0,0.0,5531,0.2,0.8,2196,0.1,0.9,2044,0.1,0.9
09-10,CB Murcia,18,34,5,29,2499,2790,6841,2273,2499,1589,454,343,16,6,3,7,4,2,0.4,0.2,0.4,0.2,0.1,5252,0.2,0.8,2045,0.2,0.8,1930,0.2,0.8
99-00,F.C. Barcelona,1,34,26,8,2545,2234,6793,2702,2545,3236,1064,1280,12,6,0,12,0,0,0.5,0.0,1.0,0.0,0.0,3557,0.5,0.5,1481,0.4,0.6,1422,0.5,0.5
99-00,Real Madrid Teka,2,34,23,11,2561,2335,6791,2815,2561,3451,1319,1337,17,8,3,14,0,0,0.5,0.2,0.8,0.0,0.0,3340,0.5,0.5,1242,0.5,0.5,1478,0.5,0.5
99-00,Adecco Estudiantes,3,34,23,11,2507,2376,6817,2508,2507,4950,1743,1773,13,10,0,11,0,2,0.8,0.0,0.8,0.0,0.2,1867,0.7,0.3,764,0.7,0.3,735,0.7,0.3
99-00,Caja San Fernando,4,34,22,12,2402,2297,6920,2427,2402,2821,812,754,12,6,1,10,0,1,0.5,0.1,0.8,0.0,0.1,4099,0.4,0.6,1590,0.3,0.7,1673,0.3,0.7
99-00,Tau Cer\xe1mica,5,34,21,13,2696,2500,6817,2927,2696,2405,909,913,15,6,1,12,0,2,0.4,0.1,0.8,0.0,0.1,4412,0.4,0.6,1787,0.3,0.7,2014,0.3,0.7
99-00,Pamesa Valencia,6,34,20,14,2703,2528,6794,3000,2703,3643,1331,1356,11,8,1,10,0,0,0.7,0.1,0.9,0.0,0.0,3151,0.5,0.5,1372,0.5,0.5,1644,0.5,0.5
99-00,Canarias Telecom,7,34,19,15,2435,2479,6893,2484,2435,2998,895,871,14,9,1,12,0,1,0.6,0.1,0.9,0.0,0.1,3895,0.4,0.6,1540,0.4,0.6,1613,0.4,0.6
99-00,Unicaja,8,34,19,15,2412,2370,6845,2460,2412,2291,715,604,15,7,1,14,0,0,0.5,0.1,0.9,0.0,0.0,4554,0.3,0.7,1697,0.3,0.7,1856,0.2,0.8
99-00,C\xe1ceres C.B.,9,34,17,17,2450,2467,6841,2496,2450,4318,1280,1172,15,11,4,9,0,2,0.7,0.3,0.6,0.0,0.1,2523,0.6,0.4,1170,0.5,0.5,1324,0.5,0.5
99-00,Casademont Girona,10,34,16,18,2523,2473,6820,2616,2523,2840,835,827,12,8,1,11,0,0,0.7,0.1,0.9,0.0,0.0,3980,0.4,0.6,1688,0.3,0.7,1789,0.3,0.7
99-00,Pinturas Bruguer Badalona,11,34,16,18,2640,2650,6816,2653,2640,4143,1510,1540,18,12,3,12,0,3,0.7,0.2,0.7,0.0,0.2,2673,0.6,0.4,1130,0.6,0.4,1113,0.6,0.4
99-00,F\xf3rum Valladolid,12,34,15,19,2342,2444,6818,2193,2342,4554,1494,1335,16,11,3,11,1,1,0.7,0.2,0.7,0.1,0.1,2264,0.7,0.3,848,0.6,0.4,858,0.6,0.4
99-00,Breog\xe1n Universidade,13,34,15,19,2432,2522,6792,2398,2432,4141,1380,1236,14,8,0,12,1,1,0.6,0.0,0.9,0.1,0.1,2651,0.6,0.4,1052,0.6,0.4,1162,0.5,0.5
99-00,Jabones Pardo Fuenlabrada,14,34,11,23,2471,2563,6871,2369,2471,3624,1059,924,13,7,1,12,0,0,0.5,0.1,0.9,0.0,0.0,3247,0.5,0.5,1412,0.4,0.6,1445,0.4,0.6
99-00,Cantabria Lobos,15,34,11,23,2345,2619,6791,2146,2345,2483,674,534,18,11,6,10,0,2,0.6,0.3,0.6,0.0,0.1,4308,0.4,0.6,1671,0.3,0.7,1612,0.2,0.8
99-00,Cabitel Gij\xf3n B.,16,34,11,23,2332,2570,6819,2020,2332,4460,1244,893,13,7,1,8,2,2,0.5,0.1,0.6,0.2,0.2,2359,0.7,0.3,1088,0.5,0.5,1127,0.4,0.6
99-00,Tdk Manresa,17,34,11,23,2336,2487,6817,2308,2336,4048,1346,1149,17,11,1,15,0,1,0.6,0.1,0.9,0.0,0.1,2769,0.6,0.4,990,0.6,0.4,1159,0.5,0.5
99-00,B. Le\xf3n Caja Espa\xf1a,18,34,10,24,2296,2514,6815,1998,2296,3986,1209,1067,19,11,3,12,1,3,0.6,0.2,0.6,0.1,0.2,2829,0.6,0.4,1087,0.5,0.5,931,0.5,0.5
08-09,TAU Cer\xe1mica,1,32,28,4,2865,2464,6417,3185,2865,1216,438,570,16,2,4,10,1,1,0.1,0.2,0.6,0.1,0.1,5201,0.2,0.8,2427,0.2,0.8,2615,0.2,0.8
08-09,Regal FC Barcelona,2,32,26,6,2601,2278,6518,2941,2601,2727,1179,1478,15,7,2,12,1,0,0.5,0.1,0.8,0.1,0.0,3791,0.4,0.6,1422,0.5,0.5,1463,0.5,0.5
08-09,Unicaja,3,32,24,8,2668,2325,6444,2974,2668,1604,540,734,17,7,1,15,1,0,0.4,0.1,0.9,0.1,0.0,4840,0.2,0.8,2128,0.2,0.8,2240,0.2,0.8
08-09,Real Madrid,4,32,23,9,2690,2528,6491,2801,2690,2723,1174,1355,19,7,1,16,1,1,0.4,0.1,0.8,0.1,0.1,3768,0.4,0.6,1516,0.4,0.6,1446,0.5,0.5
08-09,DKV Joventut,5,32,22,10,2647,2525,6390,2752,2647,2544,939,1128,17,7,0,17,0,0,0.4,0.0,1.0,0.0,0.0,3846,0.4,0.6,1708,0.4,0.6,1624,0.4,0.6
